  Iter      Objective      FeasError   OptError    ||Step||    CGits 
--------  --------------  ----------  ----------  ----------  -------
    3120    7.962719e+00   2.809e-03   2.360e-02   4.607e-01        0
    3130    7.961059e+00   4.768e-02   8.200e-03   1.833e-01        0
    3140    7.959321e+00   2.525e-03   1.405e-02   8.007e-01        0
    3150    7.955605e+00   4.380e-02   4.302e-02   1.445e+00        1
    3160    7.947311e+00   2.084e-02   4.597e-02   2.565e-01        0
    3170    7.943231e+00   4.193e-02   4.645e-02   1.903e+00        0
    3180    7.942374e+00   2.459e-03   1.295e-02   4.242e-02        0
    3190    7.940382e+00   6.331e-03   3.047e-02   2.743e-01        0
    3200    7.935970e+00   9.670e-03   1.998e-02   4.424e-01        0
    3210    7.931007e+00   2.567e-02   3.871e-02   4.496e+00        5
    3220    7.927560e+00   1.249e-02   8.462e-03   1.503e+00        0
    3230    7.921246e+00   1.099e-01   1.410e-02   3.376e+00        0
    3240    7.902439e+00   1.644e-02   3.344e-02   5.954e+00       14
    3250    7.894978e+00   1.537e-01   7.236e-02   2.439e+00        0
    3260    7.886944e+00   4.858e-01   1.067e-01   9.349e-02        0
    3270    7.883175e+00   1.067e-02   1.579e-01   2.467e-01        0
    3280    7.873657e+00   4.898e-01   4.421e-01   2.602e-02        0
    3290    7.866480e+00   7.464e-02   3.283e-01   1.269e+00        0
    3300    7.862945e+00   8.245e-02   3.077e-02   2.144e-02        0
    3310    7.861940e+00   8.258e-03   2.605e-03   1.026e-01        0
    3320    7.858940e+00   5.253e-02   1.121e-01   3.750e-01        0
    3330    7.853883e+00   8.009e-02   2.371e-01   1.148e+00        0
    3340    7.849989e+00   7.066e-03   2.702e-03   3.128e-01        0
    3350    7.845964e+00   8.709e-02   5.261e-02   2.568e-01        0
    3360    7.844406e+00   6.698e-02   3.562e-02   4.416e-01        0
    3370    7.840146e+00   1.952e-02   8.500e-02   2.520e-01        0
    3380    7.829217e+00   1.264e-01   4.677e-02   1.387e-01        0
    3390    7.820939e+00   4.659e-02   4.645e-02   4.449e-01        0
    3400    7.816557e+00   1.204e-02   2.236e-03   1.540e+00        0
    3410    7.811911e+00   5.796e-03   2.525e-02   1.390e+00        2
    3420    7.809810e+00   4.883e-02   6.037e-03   3.843e+00        0
    3430    7.809455e+00   1.354e-03   1.270e-03   9.264e-02        0
    3440    7.809009e+00   6.216e-03   5.390e-03   1.089e-01        0
    3450    7.808841e+00   3.569e-02   5.418e-04   4.178e-01        0
    3460    7.808652e+00   1.905e-02   3.159e-04   1.399e+00        0
    3470    7.805512e+00   3.156e-02   1.970e-02   5.995e-01        0
    3480    7.799293e+00   1.234e-01   4.448e-02   1.814e+00       10
    3490    7.795173e+00   4.681e-02   3.962e-03   1.022e+00        4
    3500    7.794153e+00   3.957e-03   3.738e-04   4.968e-01        0
    3510    7.793458e+00   1.673e-02   1.778e-02   1.023e-02        0
    3520    7.788801e+00   1.061e-01   3.409e-02   2.359e-01        0
    3530    7.784651e+00   5.691e-02   4.662e-02   9.169e-01        0
    3540    7.782766e+00   7.813e-03   1.241e-02   1.166e+00        1
    3550    7.781366e+00   2.735e-02   3.438e-02   4.246e+00        2
    3560    7.779678e+00   8.046e-03   6.565e-03   1.605e+00        0
    3570    7.777951e+00   6.682e-02   1.096e-02   9.209e-02        0
    3580    7.775460e+00   2.588e-03   1.767e-02   1.390e-01        0
    3590    7.773132e+00   2.081e-02   1.169e-02   2.465e-01        0
    3600    7.772177e+00   5.459e-03   6.726e-04   1.084e-01        0
    3610    7.771109e+00   9.088e-03   2.012e-02   1.297e+00        0
